Generating SQLite file nsys.743827.r24.w.sqlite from nsys.743827.r24.w.qdrep
Using nsys.743827.r24.w.sqlite for SQL queries.
Running [/autofs/nccs-svm1_sw/summit/nsight-systems/2020.5.1.85/target-linux-ppc64le/reports/cudaapisum.py nsys.743827.r24.w.sqlite]... 

 Time(%)  Total Time (ns)  Num Calls    Average     Minimum   Maximum                Name            
 -------  ---------------  ---------  ------------  -------  ----------  ----------------------------
    47.9      37701498004       6804     5541078.5     9701    63483065  cudaEventSynchronize        
    11.3       8877645096          8  1109705637.0     3340  8877615833  cudaStreamCreateWithFlags   
     7.0       5511981529     321789       17129.2     8257     4261517  cuLaunchKernel              
     6.8       5385469336     509821       10563.5     5758   267190097  cuMemcpyHtoDAsync_v2        
     6.3       4939999348     310850       15891.9     9124     1716189  cudaLaunchKernel            
     4.7       3684085891    2164233        1702.3      941    32608868  cuEventQuery                
     2.8       2231042944     132183       16878.4    11990     7614900  cudaMemcpyAsync             
     2.6       2062228138       1335     1544740.2     8791   134749865  cuModuleUnload              
     2.0       1607732413         68    23643123.7      959  1032256534  cudaFree                    
     2.0       1579380800     159809        9882.9     3643     1787708  cuMemsetD32Async            
     1.1        878055950      26922       32614.8     6769   330766433  cudaMemsetAsync             
     0.8        634362552      68054        9321.5      587     7414203  cuEventDestroy_v2           
     0.8        605472632     146916        4121.2     1594     8566494  cudaEventRecord             
     0.7        563415342        354     1591568.8    50420    11877183  cuEventSynchronize          
     0.7        548890405        890      616730.8     8078   538418546  cuMemAlloc_v2               
     0.6        449522527        899      500025.1    98436    49714205  cuModuleLoadFatBinary       
     0.4        293744274     153260        1916.6      801     1638592  cuEventRecord               
     0.3        239164121         91     2628177.2    15851    11286788  cudaHostAlloc               
     0.3        217831890          9    24203543.3  4365782   149900582  cuMemHostAlloc              
     0.3        209412089       5653       37044.4     6578     1183931  cuMemcpyDtoHAsync_v2        
     0.1        113329878         16     7083117.4    22079    35134515  cudaIpcOpenMemHandle        
     0.1        104439975      54325        1922.5      824     1629100  cuStreamWaitEvent           
     0.1         88762439      68076        1303.9      742     1728470  cuEventCreate               
     0.1         71289173         90      792101.9    12724    17803536  cudaFreeHost                
     0.1         42792167         68      629296.6     7637     8717698  cudaMalloc                  
     0.0         35834598       1761       20349.0    12214       69663  cuMemcpyDtoDAsync_v2        
     0.0         13155983        889       14798.6    12302      239647  cuMemFree_v2                
     0.0         10856536       1758        6175.5     4539       67685  cuStreamSynchronize         
     0.0          8418196        525       16034.7     9782       72783  cuCtxSynchronize            
     0.0          6756355         16      422272.2    24009     2028900  cudaIpcCloseMemHandle       
     0.0          1305038        194        6727.0     3563       41075  cudaBindTexture             
     0.0           986798         34       29023.5     8329       61869  cudaMemset                  
     0.0           746136         10       74613.6     3785      581500  cuStreamCreate              
     0.0           412992          2      206496.0   201415      211577  cuMemGetInfo_v2             
     0.0           378159         58        6520.0     5964       10834  cudaEventQuery              
     0.0           357212         20       17860.6    14857       32778  cudaMemcpy                  
     0.0           334057        194        1721.9     1121        6405  cudaUnbindTexture           
     0.0            95674         56        1708.5     1045        5130  cudaEventCreateWithFlags    
     0.0            64116          5       12823.2     3373       49963  cudaStreamCreateWithPriority
     0.0            62654          2       31327.0    28077       34577  cuMemsetD32_v2              
     0.0            27325          1       27325.0    27325       27325  cudaStreamSynchronize       
     0.0             5458          4        1364.5     1232        1646  cuInit                      
     0.0             4678          1        4678.0     4678        4678  cudaStreamWaitEvent         
     0.0             2926          1        2926.0     2926        2926  cudaEventDestroy            

Running [/autofs/nccs-svm1_sw/summit/nsight-systems/2020.5.1.85/target-linux-ppc64le/reports/gpukernsum.py nsys.743827.r24.w.sqlite]... 

 Time(%)  Total Time (ns)  Instances   Average   Minimum  Maximum                                                   Name                                                
 -------  ---------------  ---------  ---------  -------  --------  ----------------------------------------------------------------------------------------------------
    27.1      14941823265       6804  2196035.2    43647  63828170  ncclAllReduceTreeLLKernel_sum_f32(ncclColl)                                                         
     7.1       3922108495      14225   275719.4   180158    585244  Volta_hmma_implicit_gemm_fprop_fp32_nhwc_128x128x32x1_1x1x1x0x1                                     
     4.7       2589025364      10041   257845.4   170014    424253  volta_s884cudnn_fp16_128x128_ldg8_wgrad_idx_exp_interior_nhwc_nt                                    
     4.2       2327995349       5440   427940.3   316798    842009  volta_fp16_s884cudnn_fp16_128x128_ldg8_dgrad_f2f_exp_small_nhwc_tt_v1                               
     3.6       1961031419      10039   195341.3   165631    375997  Volta_hmma_implicit_gemm_fprop_fp32_nhwc_128x128x64x1_1x1x1x0x1                                     
     3.2       1755470682       5857   299721.8   203518    460348  Volta_hmma_implicit_gemm_wgrad_fp32_nhwc_128x128x64x1_1x1x1x0x1                                     
     2.3       1254115841       3766   333010.0   315294    429565  Volta_hmma_implicit_gemm_fprop_fp32_nhwc_128x128x64x1_1x3x3x0x1                                     
     1.6        897859103       2510   357712.8   346781    399837  Volta_hmma_implicit_gemm_fprop_fp32_nhwc_64x32x64x1_1x1x1x0x1                                       
     1.2        670693657        412  1627897.2  1592947   1822482  select_and_scatter_4351                                                                             
     1.2        668816776        412  1623341.7  1595347   1638035  fusion_238                                                                                          
     1.2        660834610       1257   525723.6   314686    693242  volta_fp16_s884cudnn_fp16_256x128_ldg8_relu_f2f_exp_interior_nhwc_tn_v1                             
     1.2        648499807       1257   515910.7   384413    623867  dgrad_1x1_stride_2x2                                                                                
     1.1        613275263        412  1488532.2  1474037   1550740  fusion_237                                                                                          
     1.1        594900212       1255   474024.1   455996    548283  volta_s884cudnn_fp16_64x64_sliced1x4_ldg8_wgrad_idx_exp_interior_nhwc_nt                            
     1.0        548674968        836   656309.8     5856   1337108  fusion_254                                                                                          
     1.0        540670782        418  1293470.8   249182   1318710  fusion_269                                                                                          
     0.9        514763029       1255   410169.7   395037    475420  volta_fp16_s884cudnn_fp16_256x64_ldg8_relu_f2f_exp_small_nhwc_tn_v1                                 
     0.9        508581250       1255   405244.0   392317    458973  volta_fp16_s884cudnn_fp16_256x64_ldg8_dgrad_f2f_exp_small_nhwc_tt_v1                                
     0.8        415874458       1255   331374.1   324285    386397  Volta_hmma_implicit_gemm_fprop_fp32_nhwc_256x128x32x1_1x3x3x0x1                                     
     0.7        410268351        418   981503.2     3968   1000856  fusion_219                                                                                          
     0.7        380190688      67298     5649.4     2879     38975  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap…
     0.6        356605572       2092   170461.6   164094    203230  Volta_hmma_implicit_gemm_wgrad_fp32_nhwc_256x128x32x1_1x1x1x0x1                                     
     0.6        347118180      67298     5157.9     2943     39839  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap…
     0.6        329653347        412   800129.5   791866    806393  fusion_287                                                                                          
     0.6        306880320       1260   243555.8   117599    427773  void foldedNhwcToNhwcKernel<__half, __half, float, true>(int, int, int, int, int, int, int, __half …
     0.5        302881458        412   735149.2   733658    749018  fusion_268                                                                                          
     0.5        302624021        412   734524.3   732986    743162  fusion_253                                                                                          
     0.5        302306926        418   723222.3     3712    736377  fusion_820                                                                                          
     0.5        300850114        418   719737.1     3744    733787  fusion_799                                                                                          
     0.5        300821162        412   730148.5   729018    731738  fusion_778                                                                                          
     0.5        294781646        836   352609.6     3360    733946  fusion_220                                                                                          
     0.5        285372916        419   681080.9   676443    794074  void first_layer_fwd_kernel<4, 7, 7, 64>(FirstLayerFwdParams)                                       
     0.5        283565160        419   676766.5   672155    786842  void first_layer_wgrad_kernel<7, 7, 2, 2, 64>(FirstLayerWgradParams)                                
     0.5        280858337        412   681695.0   674138    775066  fusion_286                                                                                          
     0.5        271358882        418   649183.9   124863    670811  fusion_318                                                                                          
     0.5        269961669        418   645841.3   124927    664506  fusion_333                                                                                          
     0.5        269287283        418   644227.9   125087    661531  fusion_303                                                                                          
     0.5        253592279        837   302977.6   299613    345981  volta_s884cudnn_fp16_256x128_ldg8_wgrad_exp_interior_nhwc_nt_v1                                     
     0.4        209017732        412   507324.6   506492    509787  fusion_847                                                                                          
     0.4        205701838        412   499276.3   492956    500764  fusion_273                                                                                          
     0.4        203384613        419   485404.8   481372    562587  Volta_hmma_implicit_gemm_fprop_fp32_nhwc_128x256x32x1_1x3x3x0x1                                     
     0.3        186366057        419   444787.7   441309    517692  Volta_hmma_implicit_gemm_wgrad_fp32_nhwc_128x128x64x1_1x3x3x0x1                                     
     0.3        177174844        418   423863.3   414557    473468  reduce_window_1391                                                                                  
     0.3        174741569        418   418042.0   409468    743418  fusion_274                                                                                          
     0.3        164178473        412   398491.4   394685    402493  fusion_351                                                                                          
     0.3        155292657        412   376923.9   343614    442428  fusion_350                                                                                          
     0.3        153567915        412   372737.7   371101    380413  fusion_302                                                                                          
     0.3        153525706        412   372635.2   371357    373821  fusion_317                                                                                          
     0.3        153511050        412   372599.6   371325    374973  fusion_332                                                                                          
     0.3        151797191        418   363151.2     3744    370301  fusion_751                                                                                          
     0.3        150738559        419   359757.9   354525    396861  volta_s884cudnn_fp16_128x128_ldg8_wgrad_exp_interior_nhwc_nt_v1                                     
     0.3        150519132        418   360093.6     3744    368094  fusion_709                                                                                          
     0.3        150496653        412   365283.1   364476    368477  fusion_688                                                                                          
     0.3        150496415        418   360039.3     3712    367676  fusion_730                                                                                          
     0.3        139561830        419   333083.1   328478    385693  Volta_hmma_implicit_gemm_wgrad_fp32_nhwc_256x128x32x1_1x1x1x1x1                                     
     0.2        136914646        418   327547.0    62720    339229  fusion_382                                                                                          
     0.2        136671414        418   326965.1    63136    341117  fusion_427                                                                                          
     0.2        136191024        418   325815.8    62592    339134  fusion_412                                                                                          
     0.2        134807639        418   322506.3    62559    332093  fusion_367                                                                                          
     0.2        134711016        418   322275.2    62400    329502  fusion_397                                                                                          
     0.2        134529083         72  1868459.5  1068663   2763946  void cudnn::detail::convolve_common_engine_float_NHWC<__half, __half, 512, 6, 8, 3, 3, 5, true, tru…
     0.2        129838596      12575    10325.1     8576     23520  void convertTensor_kernel<float, __half, float>(float, float const*, float, __half*, unsigned long) 
     0.2        129385935      44308     2920.1     2623      8800  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap…
     0.2        126615747        838   151092.8   149119    164063  Volta_hmma_implicit_gemm_fprop_fp32_nhwc_128x64x64x1_1x1x1x0x1                                      
     0.2        121904148       2948    41351.5    39998     49822  redzone_checker                                                                                     
